loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.0248,-0.0400,0.0485,0.9018,0.2698,1.0248,1.0140,-0.0377,0.8629
0.0088,0.0036,0.0274,0.8534,0.2557,1.1233,1.0935,-0.0505,0.7116
0.0023,-0.0142,0.0512,0.9153,0.2190,1.0421,1.0087,-0.0337,0.8294
0.0128,-0.0024,0.0503,0.9921,0.2776,1.0619,1.0705,-0.0692,2.0827
-0.0092,-0.0433,0.0847,0.8210,0.3216,0.9592,0.9706,0.0056,1.6329
-0.0227,-0.0491,0.0699,0.8635,0.2942,0.9960,0.9910,0.0011,1.3004
-0.0761,-0.0961,0.0582,0.9108,0.2810,1.0512,1.0578,0.0254,0.4602
-0.0170,-0.0112,0.0093,1.0396,0.2441,1.2060,1.2475,-0.0237,1.7572
-0.1958,-0.1891,0.0084,1.0876,0.2850,1.2843,1.3014,0.0974,1.6136
-0.0363,-0.0505,0.0547,1.3116,0.2583,1.1179,1.0944,-0.0211,1.1581
-0.1626,-0.1702,0.0400,1.2424,0.2901,0.9634,1.0179,0.1369,1.1084
-0.2089,-0.2097,0.0273,1.2842,0.2438,1.1036,1.1479,0.1503,0.9701
